OrderID,OrderDate,ProductID,Quantity
10248,7/4/1996,11,12
10248,7/4/1996,42,10
10248,7/4/1996,72,5
10249,7/5/1996,14,9
10249,7/5/1996,51,40
10250,7/8/1996,41,10
10250,7/8/1996,51,35
10250,7/8/1996,65,15
10251,7/8/1996,22,6
10251,7/8/1996,57,15
10251,7/8/1996,65,20
10252,7/9/1996,20,40
10252,7/9/1996,33,25
10252,7/9/1996,60,40
10253,7/10/1996,31,20
10253,7/10/1996,39,42
10253,7/10/1996,49,40
10254,7/11/1996,24,15
10254,7/11/1996,55,21
10254,7/11/1996,74,21
10255,7/12/1996,2,20
10255,7/12/1996,16,35
10255,7/12/1996,36,25
10255,7/12/1996,59,30
10256,7/15/1996,53,15
10256,7/15/1996,77,12
10257,7/16/1996,27,25
10257,7/16/1996,39,6
10257,7/16/1996,77,15
10258,7/17/1996,2,50
10258,7/17/1996,5,65
10258,7/17/1996,32,6
10259,7/18/1996,21,10
10259,7/18/1996,37,1
10260,7/19/1996,41,16
10260,7/19/1996,57,50
10260,7/19/1996,62,15
10260,7/19/1996,70,21
10261,7/19/1996,21,20
10261,7/19/1996,35,20
10262,7/22/1996,5,12
10262,7/22/1996,7,15
10262,7/22/1996,56,2
10263,7/23/1996,16,60
10263,7/23/1996,24,28
10263,7/23/1996,30,60
10263,7/23/1996,74,36
10264,7/24/1996,2,35
10264,7/24/1996,41,25
10265,7/25/1996,17,30
10265,7/25/1996,70,20
10266,7/26/1996,12,12
10267,7/29/1996,40,50
10267,7/29/1996,59,70
10267,7/29/1996,76,15
10268,7/30/1996,29,10
10268,7/30/1996,72,4
10269,7/31/1996,33,60
10269,7/31/1996,72,20
10270,8/1/1996,36,30
10270,8/1/1996,43,25
10271,8/1/1996,33,24
10272,8/2/1996,20,6
10272,8/2/1996,31,40
10272,8/2/1996,72,24
10273,8/5/1996,10,24
10273,8/5/1996,31,15
10273,8/5/1996,33,20
10273,8/5/1996,40,60
10273,8/5/1996,76,33
10274,8/6/1996,71,20
10274,8/6/1996,72,7
10275,8/7/1996,24,12
10275,8/7/1996,59,6
10276,8/8/1996,10,15
10276,8/8/1996,13,10
10277,8/9/1996,28,20
10277,8/9/1996,62,12
10278,8/12/1996,44,16
10278,8/12/1996,59,15
10278,8/12/1996,63,8
10278,8/12/1996,73,25
10279,8/13/1996,17,15
10280,8/14/1996,24,12
10280,8/14/1996,55,20
10280,8/14/1996,75,30
10281,8/14/1996,19,1
10281,8/14/1996,24,6
10281,8/14/1996,35,4
10282,8/15/1996,30,6
10282,8/15/1996,57,2
10283,8/16/1996,15,20
10283,8/16/1996,19,18
10283,8/16/1996,60,35
10283,8/16/1996,72,3
10284,8/19/1996,27,15
10284,8/19/1996,44,21
10284,8/19/1996,60,20
10284,8/19/1996,67,5
10285,8/20/1996,1,45
